Loading core dump: C:\WAVEE\WaveeMusic\.tmp-dumps\ui-20260517-212245.dmp ...
Statistics:
          MT   Count TotalSize Class Name
7ffc4a166e28       1        24 Wavee.Protocol.Player.Cluster+<>c
7ffc4a167098       1        24 Google.Protobuf.MessageParser<Wavee.Protocol.Player.Cluster>+<>c__DisplayClass2_0
7ffc4a167140       1        24 Google.Protobuf.FieldCodec+<>c__DisplayClass32_0<Wavee.Protocol.Player.DeviceInfo>
7ffc4a1672b0       1        24 Google.Protobuf.FieldCodec+<>c__32<Wavee.Protocol.Player.DeviceInfo>
7ffc4a16b468       1        24 Google.Protobuf.Reflection.TypeRegistry
7ffc4a182030       1        24 Wavee.Protocol.Player.ContextIndex+<>c
7ffc4a1821e0       1        24 Google.Protobuf.MessageParser<Wavee.Protocol.Player.ContextIndex>+<>c__DisplayClass2_0
7ffc4a1822f8       1        24 Wavee.Protocol.Player.Restrictions+<>c
7ffc4a1824a8       1        24 Google.Protobuf.MessageParser<Wavee.Protocol.Player.Restrictions>+<>c__DisplayClass2_0
7ffc4a1825c0       1        24 Wavee.Protocol.Player.PlayOrigin+<>c
7ffc4a182770       1        24 Google.Protobuf.MessageParser<Wavee.Protocol.Player.PlayOrigin>+<>c__DisplayClass2_0
7ffc4a182888       1        24 Wavee.Protocol.Player.ContextPlayerOptions+<>c
7ffc4a182a38       1        24 Google.Protobuf.MessageParser<Wavee.Protocol.Player.ContextPlayerOptions>+<>c__DisplayClass2_0
7ffc4a182b50       1        24 Wavee.Protocol.Player.Suppressions+<>c
7ffc4a182d00       1        24 Google.Protobuf.MessageParser<Wavee.Protocol.Player.Suppressions>+<>c__DisplayClass2_0
7ffc4a182e18       1        24 Wavee.Protocol.Player.PlaybackQuality+<>c
7ffc4a182fc8       1        24 Google.Protobuf.MessageParser<Wavee.Protocol.Player.PlaybackQuality>+<>c__DisplayClass2_0
7ffc4a188e50       1        24 Google.Protobuf.ExtensionRegistry+ExtensionComparer
7ffc4a1894b8       1        24 Google.Protobuf.Reflection.FileDescriptor+<>c
7ffc4a18b618       1        24 Google.Protobuf.Reflection.FileDescriptorProto+<>c
7ffc4a18ec68       1        24 Google.Protobuf.MessageParser<Google.Protobuf.Reflection.FileDescriptorProto>+<>c__DisplayClass2_0
7ffc4a18f518       1        24 Google.Protobuf.FieldCodec<System.Int32>+<>c
7ffc4a18fb60       1        24 Google.Protobuf.Reflection.DescriptorProto+<>c
7ffc4a1920a8       1        24 Google.Protobuf.MessageParser<Google.Protobuf.Reflection.DescriptorProto>+<>c__DisplayClass2_0
7ffc4a1921e0       1        24 Google.Protobuf.Reflection.FieldDescriptorProto+<>c
7ffc4a192490       1        24 Google.Protobuf.MessageParser<Google.Protobuf.Reflection.FieldDescriptorProto>+<>c__DisplayClass2_0
7ffc4a1926a8       1        24 Google.Protobuf.FieldCodec+<>c__32<Google.Protobuf.Reflection.FieldDescriptorProto>
7ffc4a192ce8       1        24 System.Collections.Generic.GenericEqualityComparer<Google.Protobuf.Reflection.FieldDescriptorProto>
7ffc4a192f40       1        24 Google.Protobuf.FieldCodec+<>c__32<Google.Protobuf.Reflection.DescriptorProto>
7ffc4a193590       1        24 System.Collections.Generic.GenericEqualityComparer<Google.Protobuf.Reflection.DescriptorProto>
7ffc4a1936e8       1        24 Google.Protobuf.Reflection.EnumDescriptorProto+<>c
7ffc4a194c08       1        24 Google.Protobuf.MessageParser<Google.Protobuf.Reflection.EnumDescriptorProto>+<>c__DisplayClass2_0
7ffc4a194d20       1        24 Google.Protobuf.Reflection.EnumValueDescriptorProto+<>c
7ffc4a194ed0       1        24 Google.Protobuf.MessageParser<Google.Protobuf.Reflection.EnumValueDescriptorProto>+<>c__DisplayClass2_0
7ffc4a194f78       1        24 Google.Protobuf.FieldCodec+<>c__DisplayClass32_0<Google.Protobuf.Reflection.EnumValueDescriptorProto>
7ffc4a1950e8       1        24 Google.Protobuf.FieldCodec+<>c__32<Google.Protobuf.Reflection.EnumValueDescriptorProto>
7ffc4a195728       1        24 System.Collections.Generic.GenericEqualityComparer<Google.Protobuf.Reflection.EnumValueDescriptorProto>
7ffc4a1958b0       1        24 Google.Protobuf.Reflection.EnumDescriptorProto+Types+EnumReservedRange+<>c
7ffc4a195a60       1        24 Google.Protobuf.MessageParser<Google.Protobuf.Reflection.EnumDescriptorProto+Types+EnumReservedRange>+<>c__DisplayClass2_0
7ffc4a195b08       1        24 Google.Protobuf.FieldCodec+<>c__DisplayClass32_0<Google.Protobuf.Reflection.EnumDescriptorProto+Types+EnumReservedRange>
7ffc4a195c78       1        24 Google.Protobuf.FieldCodec+<>c__32<Google.Protobuf.Reflection.EnumDescriptorProto+Types+EnumReservedRange>
7ffc4a1962d8       1        24 System.Collections.Generic.GenericEqualityComparer<Google.Protobuf.Reflection.EnumDescriptorProto+Types+EnumReservedRange>
7ffc4a196530       1        24 Google.Protobuf.FieldCodec+<>c__32<Google.Protobuf.Reflection.EnumDescriptorProto>
7ffc4a196b70       1        24 System.Collections.Generic.GenericEqualityComparer<Google.Protobuf.Reflection.EnumDescriptorProto>
7ffc4a196d50       1        24 Google.Protobuf.Reflection.DescriptorProto+Types+ExtensionRange+<>c
7ffc4a196f40       1        24 Google.Protobuf.MessageParser<Google.Protobuf.Reflection.DescriptorProto+Types+ExtensionRange>+<>c__DisplayClass2_0
7ffc4a196fe8       1        24 Google.Protobuf.FieldCodec+<>c__DisplayClass32_0<Google.Protobuf.Reflection.DescriptorProto+Types+ExtensionRange>
7ffc4a197158       1        24 Google.Protobuf.FieldCodec+<>c__32<Google.Protobuf.Reflection.DescriptorProto+Types+ExtensionRange>
7ffc4a197798       1        24 System.Collections.Generic.GenericEqualityComparer<Google.Protobuf.Reflection.DescriptorProto+Types+ExtensionRange>
7ffc4a1978f0       1        24 Google.Protobuf.Reflection.OneofDescriptorProto+<>c
7ffc4a197d80       1        24 Google.Protobuf.MessageParser<Google.Protobuf.Reflection.OneofDescriptorProto>+<>c__DisplayClass2_0
7ffc4a197e28       1        24 Google.Protobuf.FieldCodec+<>c__DisplayClass32_0<Google.Protobuf.Reflection.OneofDescriptorProto>
7ffc4a197f98       1        24 Google.Protobuf.FieldCodec+<>c__32<Google.Protobuf.Reflection.OneofDescriptorProto>
7ffc4a198a30       1        24 System.Collections.Generic.GenericEqualityComparer<Google.Protobuf.Reflection.OneofDescriptorProto>
7ffc4a1991e8       1        24 Google.Protobuf.Reflection.DescriptorProto+Types+ReservedRange+<>c
7ffc4a199a20       1        24 Google.Protobuf.MessageParser<Google.Protobuf.Reflection.DescriptorProto+Types+ReservedRange>+<>c__DisplayClass2_0
7ffc4a199ac8       1        24 Google.Protobuf.FieldCodec+<>c__DisplayClass32_0<Google.Protobuf.Reflection.DescriptorProto+Types+ReservedRange>
7ffc4a199cd8       1        24 Google.Protobuf.FieldCodec+<>c__32<Google.Protobuf.Reflection.DescriptorProto+Types+ReservedRange>
7ffc4a19ab10       1        24 System.Collections.Generic.GenericEqualityComparer<Google.Protobuf.Reflection.DescriptorProto+Types+ReservedRange>
7ffc4a19ac68       1        24 Google.Protobuf.Reflection.ServiceDescriptorProto+<>c
7ffc4a19dd38       1        24 Google.Protobuf.MessageParser<Google.Protobuf.Reflection.ServiceDescriptorProto>+<>c__DisplayClass2_0
7ffc4a19de50       1        24 Google.Protobuf.Reflection.MethodDescriptorProto+<>c
7ffc4a19e030       1        24 Google.Protobuf.MessageParser<Google.Protobuf.Reflection.MethodDescriptorProto>+<>c__DisplayClass2_0
7ffc4a19e0d8       1        24 Google.Protobuf.FieldCodec+<>c__DisplayClass32_0<Google.Protobuf.Reflection.MethodDescriptorProto>
7ffc4a19e248       1        24 Google.Protobuf.FieldCodec+<>c__32<Google.Protobuf.Reflection.MethodDescriptorProto>
7ffc4a19e898       1        24 System.Collections.Generic.GenericEqualityComparer<Google.Protobuf.Reflection.MethodDescriptorProto>
7ffc4a19e980       1        24 Google.Protobuf.FieldCodec+<>c__DisplayClass32_0<Google.Protobuf.Reflection.ServiceDescriptorProto>
7ffc4a19eaf0       1        24 Google.Protobuf.FieldCodec+<>c__32<Google.Protobuf.Reflection.ServiceDescriptorProto>
7ffc4a19f208       1        24 System.Collections.Generic.GenericEqualityComparer<Google.Protobuf.Reflection.ServiceDescriptorProto>
7ffc4a1b1e30       1        24 Google.Protobuf.Reflection.ServiceDescriptorProto[]
7ffc4a1b6098       1        24 Google.Protobuf.Reflection.DescriptorProto+Types+ExtensionRange[]
7ffc4a1b9348       1        24 System.Collections.Generic.GenericEqualityComparer<Google.Protobuf.Reflection.UninterpretedOption>
7ffc4a1b9430       1        24 Google.Protobuf.Reflection.UninterpretedOption[]
7ffc4a4c1d80       1        24 Wavee.Core.Http.Pathfinder.ArtistMusicVideoItem[]
7ffc4a4c1e40       1        24 Wavee.Core.Http.Pathfinder.ArtistAudioAssociationItem[]
7ffc4a4c1fd0       1        24 Wavee.Core.Http.Pathfinder.ArtistTopCity[]
7ffc4a4c22b0       1        24 Wavee.Core.Http.Pathfinder.ArtistGalleryItem[]
7ffc4a4f7720       1        24 System.Collections.Generic.GenericEqualityComparer<Wavee.UI.WinUI.Services.MusicVideoCatalogCache+Entry>
7ffc4a4f9708       1        24 System.Collections.Generic.GenericEqualityComparer<Microsoft.UI.Xaml.Media.Brush>
7ffc4a4fe200       1        24 ABI.Microsoft.UI.Xaml.Documents.BlockCollectionRcwFactoryAttribute
7ffc4a5140f0       1        24 System.Buffers.StringSearchValues+<>c
7ffc4a516f18       1        24 System.Collections.Generic.GenericEqualityComparer<System.Char>
7ffc4a517150       1        24 System.Buffers.SharedArrayPool<System.Buffers.AhoCorasickNode>+<>c
7ffc4a5172b0       1        24 System.Buffers.SharedArrayPool<System.Int32>+<>c
7ffc4876e118       1        24 System.Text.RegularExpressions.Generated.<RegexGenerator_g>F84D3AC6A06A5DE77A21E7076328DCF9532FCF5F309815BA8961052CA980802EA__BlockRegex_0+RunnerFactory
7ffc4a529000       1        24 System.Text.RegularExpressions.Match[]
7ffc4876e2e8       1        24 System.Text.RegularExpressions.Generated.<RegexGenerator_g>F84D3AC6A06A5DE77A21E7076328DCF9532FCF5F309815BA8961052CA980802EA__BlockBreakRegex_2+RunnerFactory
7ffc4a52d300       1        24 System.Text.RegularExpressions.RegexReplacement+<>c
7ffc4876e3d0       1        24 System.Text.RegularExpressions.Generated.<RegexGenerator_g>F84D3AC6A06A5DE77A21E7076328DCF9532FCF5F309815BA8961052CA980802EA__ParagraphBreakRegex_3+RunnerFactory
7ffc4876e4b8       1        24 System.Text.RegularExpressions.Generated.<RegexGenerator_g>F84D3AC6A06A5DE77A21E7076328DCF9532FCF5F309815BA8961052CA980802EA__ListContainerRegex_4+RunnerFactory
7ffc4876e5a0       1        24 System.Text.RegularExpressions.Generated.<RegexGenerator_g>F84D3AC6A06A5DE77A21E7076328DCF9532FCF5F309815BA8961052CA980802EA__NonAnchorTagRegex_5+RunnerFactory
7ffc4876e688       1        24 System.Text.RegularExpressions.Generated.<RegexGenerator_g>F84D3AC6A06A5DE77A21E7076328DCF9532FCF5F309815BA8961052CA980802EA__WhitespaceRegex_6+RunnerFactory
7ffc4876e770       1        24 System.Text.RegularExpressions.Generated.<RegexGenerator_g>F84D3AC6A06A5DE77A21E7076328DCF9532FCF5F309815BA8961052CA980802EA__NewlineWhitespaceRegex_7+RunnerFactory
7ffc4876e200       1        24 System.Text.RegularExpressions.Generated.<RegexGenerator_g>F84D3AC6A06A5DE77A21E7076328DCF9532FCF5F309815BA8961052CA980802EA__LinkRegex_1+RunnerFactory
7ffc4876e858       1        24 System.Text.RegularExpressions.Generated.<RegexGenerator_g>F84D3AC6A06A5DE77A21E7076328DCF9532FCF5F309815BA8961052CA980802EA__TagRegex_8+RunnerFactory
7ffc4a52ec18       1        24 ABI.System.Collections.Generic.IListMethods<Microsoft.UI.Xaml.Documents.Inline, System.IntPtr>+DelegateHelper+<>c
7ffc4a52eea0       1        24 ABI.System.Collections.Generic.IListMethods<Microsoft.UI.Xaml.Documents.Block, System.IntPtr>+DelegateHelper+<>c
7ffc4a6ca9d8       1        24 CommunityToolkit.WinUI.Animations.AnimationBuilder+ICompositionAnimationFactory[]
7ffc4a6caa98       1        24 CommunityToolkit.WinUI.Animations.AnimationBuilder+IXamlAnimationFactory[]
7ffc4a6d5430       1        24 System.Buffers.SharedArrayPool<Wavee.UI.WinUI.ViewModels.ArtistReleaseVm>+<>c
7ffc4a6d4680       1        24 Wavee.UI.WinUI.ViewModels.ArtistReleaseVm[]
7ffc4a276a60       1        24 ABI.Microsoft.UI.Composition.CompositionBatchCompletedEventArgsRcwFactoryAttribute
7ffc4bf58350       1        24 System.Collections.Generic.GenericEqualityComparer<Wavee.Protocol.ExtendedMetadata.ListMetadataV2+Types+ImageVariant>
