Loading core dump: C:\WAVEE\WaveeMusic\.tmp-dumps\ui-20260517-212245.dmp ...
         Address               MT           Size
    01a0a1ae1e88     7ffc4890c038             48 
    01a0a1ae8d40     7ffc4890c038             48 
    01a0a1b0f340     7ffc4890c038             48 
    01a0a1b30ff8     7ffc4890c038             48 
    01a0a1b3d2c8     7ffc4890c038             48 
    01a0a1b4ec30     7ffc4890c038             48 
    01a0a1b60030     7ffc4890c038             48 
    01a0a1b71450     7ffc4890c038             48 
    01a0a1b82870     7ffc4890c038             48 
    01a0a1b9b7b0     7ffc4890c038             48 
    01a0a1b9d5b8     7ffc4890c038             48 
    01a0a1d248c0     7ffc4890c038             48 
    01a0a1d2c578     7ffc4890c038             48 
    01a0a1d389e0     7ffc4890c038             48 
    01a0a1d70f58     7ffc4890c038             48 
    01a0a1d77f40     7ffc4890c038             48 
    01a0a1d7e8d8     7ffc4890c038             48 
    01a0a1e44ae8     7ffc4890c038             48 
    01a0a1e508c0     7ffc4890c038             48 
    01a0a1e68f98     7ffc4890c038             48 
    01a0a1e7f908     7ffc4890c038             48 
    01a0a1e86858     7ffc4890c038             48 
    01a0a1e8d7a8     7ffc4890c038             48 
    01a0a1ee42f0     7ffc4890c038             48 
    01a0a1ee60f8     7ffc4890c038             48 
    01a0a1ee7f00     7ffc4890c038             48 
    01a0a1ee9d08     7ffc4890c038             48 
    01a0a1f0dc40     7ffc4890c038             48 
    01a0a1f15cf0     7ffc4890c038             48 
    01a0a1f220b0     7ffc4890c038             48 
    01a0a1f24b68     7ffc4890c038             48 
    01a0a1f2cb80     7ffc4890c038             48 
    01a0a1f35a88     7ffc4890c038             48 
    01a0a1f3cfd0     7ffc4890c038             48 
    01a0a1f48248     7ffc4890c038             48 
    01a0a1f4f920     7ffc4890c038             48 
    01a0a1f56ff8     7ffc4890c038             48 
    01a0a1f5e6d0     7ffc4890c038             48 
    01a0a1f65da8     7ffc4890c038             48 
    01a0a1f72518     7ffc4890c038             48 
    01a0a1f79a48     7ffc4890c038             48 
    01a0a1f81090     7ffc4890c038             48 
    01a0a1f886d0     7ffc4890c038             48 
    01a0a1f90d30     7ffc4890c038             48 
    01a0a1f963e0     7ffc4890c038             48 
    01a0a1fa2a50     7ffc4890c038             48 
    01a0a1faee20     7ffc4890c038             48 
    01a0a1fbb1f0     7ffc4890c038             48 
    01a0a1fcf390     7ffc4890c038             48 
    01a0a1fd6688     7ffc4890c038             48 
    01a0a1fdd980     7ffc4890c038             48 
    01a0a1fe4c78     7ffc4890c038             48 
    01a0a1ff6cc8     7ffc4890c038             48 
    01a0a1ffe040     7ffc4890c038             48 
    01a0a24a54b0     7ffc4890c038             48 
    01a0a24ac4c0     7ffc4890c038             48 
    01a0a24c9230     7ffc4890c038             48 
    01a0a24d0678     7ffc4890c038             48 
    01a0a24d79d0     7ffc4890c038             48 
    01a0a2512948     7ffc4890c038             48 
    01a0a2519bb0     7ffc4890c038             48 
    01a0a2520f78     7ffc4890c038             48 
    01a0a2528340     7ffc4890c038             48 
    01a0a257ed98     7ffc4890c038             48 
    01a0a2580190     7ffc4890c038             48 
    01a0a2581450     7ffc4890c038             48 
    01a0a25827e0     7ffc4890c038             48 
    01a0a2583b70     7ffc4890c038             48 
    01a0a2584f00     7ffc4890c038             48 
    01a0a2586290     7ffc4890c038             48 
    01a0a2587620     7ffc4890c038             48 
    01a0a25889b0     7ffc4890c038             48 
    01a0a2589e60     7ffc4890c038             48 
    01a0a25a0e20     7ffc4890c038             48 
    01a0a25a5978     7ffc4890c038             48 
    01a0a25a8e88     7ffc4890c038             48 
    01a0a25c4cb0     7ffc4890c038             48 
    01a0a25cca98     7ffc4890c038             48 
    01a0a2602680     7ffc4890c038             48 
    01a0a2613cd0     7ffc4890c038             48 
    01a0a261b208     7ffc4890c038             48 
    01a0a26211a0     7ffc4890c038             48 
    01a0a27d39c0     7ffc4890c038             48 
    01a0a27dac50     7ffc4890c038             48 
    01a0a27e4748     7ffc4890c038             48 
    01a0a27eb940     7ffc4890c038             48 
    01a0a28255f8     7ffc4890c038             48 
    01a0a28432d0     7ffc4890c038             48 
    01a0a2847c78     7ffc4890c038             48 
    01a0a286bdb8     7ffc4890c038             48 
    01a0a2873008     7ffc4890c038             48 
    01a0a2879f58     7ffc4890c038             48 
    01a0a2881298     7ffc4890c038             48 
    01a0a28d7ea0     7ffc4890c038             48 
    01a0a28e36d0     7ffc4890c038             48 
    01a0a28f2db0     7ffc4890c038             48 
    01a0a28fa018     7ffc4890c038             48 
    01a0a29013e0     7ffc4890c038             48 
    01a0a2903fa8     7ffc4890c038             48 
    01a0a290b350     7ffc4890c038             48 
    01a0a29126f8     7ffc4890c038             48 
    01a0a291cb98     7ffc4890c038             48 
    01a0a2923f60     7ffc4890c038             48 
    01a0a292de70     7ffc4890c038             48 
    01a0a2935218     7ffc4890c038             48 
    01a0a2940ca8     7ffc4890c038             48 
    01a0a2991cf8     7ffc4890c038             48 
    01a0a2993088     7ffc4890c038             48 
    01a0a29bda08     7ffc4890c038             48 
    01a0a29bed90     7ffc4890c038             48 
    01a0a29c0110     7ffc4890c038             48 
    01a0a29d0978     7ffc4890c038             48 
    01a0a2bf7758     7ffc4890c038             48 
    01a0a2c95c48     7ffc4890c038             48 
    01a0a2ca10f8     7ffc4890c038             48 
    01a0a2e43228     7ffc4890c038             48 
    01a0a2e445a8     7ffc4890c038             48 
    01a0a2e4eee8     7ffc4890c038             48 
    01a0a2e56900     7ffc4890c038             48 
    01a0a2fbbe28     7ffc4890c038             48 
    01a0a2fc8630     7ffc4890c038             48 
    01a0a3033360     7ffc4890c038             48 
    01a0a30ae0d8     7ffc4890c038             48 
    01a0a30b5ce8     7ffc4890c038             48 
    01a0a3132df0     7ffc4890c038             48 
    01a0a33055a8     7ffc4890c038             48 
    01a0a33326f8     7ffc4890c038             48 
    01a0a333a6d0     7ffc4890c038             48 
    01a0a33567d0     7ffc4890c038             48 
    01a0a33585d8     7ffc4890c038             48 
    01a0a33740c0     7ffc4890c038             48 
    01a0a337ec38     7ffc4890c038             48 
    01a0a33861b0     7ffc4890c038             48 
    01a0a339bde0     7ffc4890c038             48 
    01a0a33a35c8     7ffc4890c038             48 
    01a0a33aaac0     7ffc4890c038             48 
    01a0a33b1fb8     7ffc4890c038             48 
    01a0a33b94b0     7ffc4890c038             48 
    01a0a33c09a8     7ffc4890c038             48 
    01a0a33c7ea0     7ffc4890c038             48 
    01a0a33d7d10     7ffc4890c038             48 
    01a0a33df8b8     7ffc4890c038             48 
    01a0a33e7460     7ffc4890c038             48 
    01a0a34f4948     7ffc4890c038             48 
    01a0a34feeb8     7ffc4890c038             48 
    01a0a355ca80     7ffc4890c038             48 
    01a0a355ddd0     7ffc4890c038             48 
    01a0a356f3b0     7ffc4890c038             48 
    01a0a3580790     7ffc4890c038             48 
    01a0a3590fa8     7ffc4890c038             48 
    01a0a3636b20     7ffc4890c038             48 
    01a0a3650ec0     7ffc4890c038             48 
    01a0a3652ea0     7ffc4890c038             48 
    01a0a370d6b0     7ffc4890c038             48 
    01a0a3806450     7ffc4890c038             48 

Statistics:
          MT Count TotalSize Class Name
7ffc4890c038   461    22,128 Wavee.UI.WinUI.DragDrop.ManualDragAttachment+DragState
Total 461 objects, 22,128 bytes
